,CXL7,CXL8,CXL93,CXL94,CXL95,CXL96,CXL69,CXL70,CXL41,CXL42,CXL73,CXL74,CXL77,CXL78,CXL53,CXL54,CXL19,CXL20,CXL33,CXL34,CXL29,CXL30,CXL35,CXL36,CXL79,CXL80,CXL15,CXL16,CXL3,CXL4,CXL13,CXL14,CXL57,CXL58,CXL23,CXL24,CXL55,CXL56,CXL65,CXL66,CXL47,CXL48,CXL97,CXL39,CXL40,CXL63,CXL64,CXL45,CXL46,CXL17,CXL18,CXL10,CXL9,CXL87,CXL88,CXL49,CXL50,CXL75,CXL76,CXL71,CXL72,CXL5,CXL6,CXL11,CXL12,CXL1,CXL2,CXL43,CXL44,CXL25,CXL26,CXL67,CXL68,CXL91,CXL92,CXL61,CXL62,CXL59,CXL60,CXL31,CXL32,CXL21,CXL22,CXL89,CXL90,CXL85,CXL86,CXL81,CXL82,CXL51,CXL52,CXL83,CXL84,CXL27,CXL28,CXL37,CXL38
RP11-34P13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICP27,0.0,0.0,0.0,0.0,0.0,0.0065205812780182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0203421222283935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080361259025406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079988846677734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066946131095089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RP11-34P13.15,0.8588980188186075,2.125204392439025,0.7325901860110906,0.6533438565976455,0.6794117676956004,0.8559839094396592,1.8075509447856493,1.8297006757255685,0.4936274682596794,0.5824339502333801,0.4786773342608217,0.753528932300117,1.3184544504167817,1.0544498838229135,2.5051302817799512,1.2831739880033408,1.8082416888305493,1.7207203658472632,0.7655158773795993,1.5406126477080038,1.091855852518856,0.7684138889727323,1.7629938857706768,0.5004690597884184,0.9158140545045784,0.5926241407515119,2.3048387767993828,1.7412134866513067,2.106174545154724,2.7590627972886943,1.1668688834924863,1.1020610956001509,1.7928860722563669,1.3584211864954072,2.2275928371729994,1.6675477471011864,0.9259788249159764,2.1019237095895225,0.9984777966034014,1.1887560636867458,0.939651687505522,0.6677771247284591,3.5540051061094107,1.3451974783440448,0.9448481197251154,0.9834024052806832,1.1166775833363276,1.4614566045296256,0.7260657250606637,0.5009569395753345,0.9861852122772686,0.795940239829851,1.2813257025000973,0.983712842913372,2.432317936193177,1.5451997356968572,1.0574199312439072,3.126448934702556,0.3894019636506392,0.4723117944686561,1.0602311540347318,1.049545335845368,0.975927700964914,0.996167159011869,1.3295616465094753,1.5876733641808818,1.4134011557081598,0.8450286481274243,0.8683513334680386,1.7660505285526142,1.2696044899990535,1.0964412753876596,1.380493977643832,0.7592477150875631,0.5972724531039094,1.568154886736571,0.8089022373967357,2.859843963139039,2.9103011742377247,0.7083667619092499,0.8879060421073443,1.7043348591667935,0.5183716288349073,0.921516981836624,0.3891836056877014,0.2289370745697397,0.5262166942845097,0.8840827924332819,0.8288797293266876,0.737736959575274,1.9972179990892969,0.3914312224282112,0.146466619006612,0.4243356096398562,1.6221760666043128,0.9899802899264982,1.6223200910751348
RP11-34P13.16,2.9782670125905466,3.497464975149069,1.3911106399355493,0.8684412178366581,1.945119822465468,0.9627500498234532,2.17381944189723,2.65318311812959,1.4132292360522265,1.327175952996588,0.9331960706657588,1.3020926884728266,3.136093934599597,0.6006863649041508,2.5961797173017964,1.4471990026883623,4.359947308189947,2.7954973862209505,1.6959051860962373,4.004628494276991,1.8141531000258309,2.334617650601261,2.649079147097245,1.1530760145125178,0.9738586072548684,1.390113586166298,6.260502449075786,3.5455635726088155,3.5317786048355724,5.3932591444515525,2.5740526127087424,3.1739230203390583,2.939217865521225,2.785856729045157,3.063075386229266,1.2090254952574266,2.28583555496739,3.3738026058784807,1.9693965172669343,1.4446854375589429,5.188190587703166,0.7474747652631363,6.6566492884515736,2.254523789677193,2.511832149269235,1.932328516806119,2.968632307813127,0.9065490792182012,1.1174899641639768,1.0463901869147794,2.3039399512175454,1.6457528041865273,2.9934513717711986,1.3075760499992917,4.655662077868347,2.1747374076346624,1.5742153060912856,6.52295750728413,1.2422471093925336,0.8692737387363267,2.8968659319210017,1.5943797355397482,0.9340040462051544,1.9260082075645628,3.916690213903772,4.220751373086502,3.328033606574391,2.1566083245167547,0.6022093601669039,2.8691411658117154,5.192586077731778,1.3040051676798194,1.9922722443964584,2.1193437539988245,0.7472091169734079,2.0844312314896305,1.9634330945997007,3.889781217469648,5.996091459774128,0.5380451762992796,1.4612337027638482,3.277665255829461,0.7420352270835546,1.2249037346596,0.6035315011911669,1.3911266905444983,0.8393526848974742,1.1281394506261355,2.0986056191872886,0.5161150893989354,3.3946019385352386,1.5030897684401008,0.2920307148327261,0.5127615001249853,2.156237553320871,2.226919368320575,2.3960322158875744
RP11-34P13.14,0.0872887339087425,0.1577010483356881,0.4077145735208409,0.0,0.2443228790712919,0.0,0.1005971519470118,0.0972012391058827,0.2662696393446475,0.0972440584754979,0.0,0.0,0.0,0.1760525568965721,0.0992482217948188,0.5453399160948615,0.0,0.0,0.0,0.0,0.0,0.0855303680044836,0.0,0.2339654118515517,0.1070339955342038,0.0,0.2342378888791932,0.0865961519281822,0.2272200688152158,0.2845236403141004,0.0,0.1073343817309228,0.0698466968293888,0.0907216272272472,0.0,0.0,0.0773014167195447,0.2781036977755871,0.150574400566377,0.0,0.3379076085099632,0.0,0.0,0.0683553705848533,0.0,0.0,0.0,0.1138699418389956,0.0,0.0836405328127769,0.3492681467629876,0.0,0.0,0.1916158917439613,0.2274179618360178,0.0,0.0,0.1850114782850979,0.1820424040595861,0.0,0.3442012905470511,0.2628505291563205,0.0,0.0,0.0839945647322108,0.0883601201501226,0.1887868859017527,0.0,0.1764989249611973,0.0,0.2282808740055446,0.0,0.368782999777476,0.1774712151365662,0.0,0.0763646116799605,0.0,0.0,0.1700679091756561,0.2365399846269271,0.0,0.1695241181306798,0.0,0.097909558300964,0.0758084680841625,0.0,0.0,0.0826603725432976,0.0,0.0,0.4591888309330818,0.0,0.0855900134287863,0.0,0.0,0.0890015621450946,0.0
RP11-34P13.13,0.1137782931901687,0.0698899480557921,0.1147918900944393,0.0199061586655053,0.1019096560968878,0.1564813200065235,0.1363704410090407,0.0962912032918165,0.0925532348757827,0.0861932405309054,0.0777834570604078,0.0413254971346189,0.0676561308399589,0.0872021421851709,0.0724455946660486,0.142166903065892,0.0614999707220932,0.0155339595996135,0.0673799510042216,0.1126549684280431,0.0277223287816698,0.0713512416218195,0.0840758216921903,0.0365960426285961,0.0613868904169535,0.0934670937462149,0.1587675375954376,0.0496652345118373,0.078979910925278,0.0642838184384668,0.0816946480174276,0.0279814409193608,0.0946848361538674,0.1608240371605539,0.2106327868496635,0.0785199770124137,0.0725472860060426,0.0483333303102043,0.0863584899454946,0.0538113260236845,0.1365403100891953,0.1199338041439155,0.0492199327740958,0.1069190542319982,0.1333327154210453,0.1928016716953779,0.0680461319950709,0.1306149809052306,0.0372578648261874,0.039248269392533,0.1238309213156138,0.0754469404986236,0.0662489919799742,0.0899156412106049,0.1304303500247576,0.0996974049666253,0.0309288929041801,0.0819933839599253,0.1423721465163351,0.0841287973136262,0.1543377473578046,0.100501256937574,0.1236962761578132,0.0662211054416871,0.0175175105139655,0.0276419552624596,0.0639803175061712,0.1071051645697587,0.1748464733634981,0.0538082384607434,0.1249741055996458,0.0984612742096558,0.1201744440356382,0.1017845403357904,0.0642274180449298,0.147317752088331,0.0685794225901152,0.0405274732468039,0.1640420970587792,0.0678310383679964,0.0360704364697898,0.0265163632717722,0.0874734020719736,0.0816782239385605,0.1027666690832604,0.0597881325839342,0.1752923085453538,0.0861962883986606,0.0673450842767446,0.0946419276121372,0.0558636506182243,0.0742073001715756,0.0580133117655325,0.0564161805464391,0.1186191700035113,0.0649661120290747,0.1922240534779864
RNU6-1100P,0.0,0.0,0.0,0.7905041854666988,0.3794052400962867,0.0,0.0,0.3018846176076942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3087417133662383,0.248539006200758,0.3302688976970105,0.0,1.1129267422716196,0.0,0.0,0.2530719605584801,0.0,0.0,0.0,0.0,0.1802344531581072,0.3333558201835401,0.4338554437671641,0.0,0.0,0.0,0.2400803615424329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7369681603312277,0.0,0.0,0.0,0.0,0.0,0.0,0.5951147407048026,0.0,0.0,0.3070584800342895,0.2873014782984947,0.5653816972235218,0.0,0.213801955474419,0.0,0.0,0.0,0.0,0.0,0.0,0.4907666379509264,0.8222473956125028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2553182229241374,0.0,0.0,0.3673193030504701,0.0,0.0,0.2894752808952337,0.0,0.0,0.0,0.0,0.5134480832977898,0.2865403826198034,0.0,0.0,0.6314755831908094,0.2658228301682508,0.0,0.2944093582418887,0.0,0.0
RP11-34P13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FO538757.3,0.0,0.0,0.0,0.0572509995045521,0.0,0.0,0.0,0.0,0.1197842527971046,0.0,0.0,0.3169439241708008,0.0729682678540293,0.0,0.0,0.0,0.1768766567425102,0.0670145401947115,0.0,0.0,0.0,0.0,0.0,0.035083949873747,0.0,0.1466266512427959,0.2107488526684667,0.0,0.1022173847177085,0.0853306739289267,0.0522127663744932,0.4345697043061175,0.0314212856210203,0.0,0.0403859521675539,0.1594072612131422,0.208649227858604,0.2085132181557903,0.1016062633348327,0.035714716597035,0.0380028403721163,0.0,0.0424676160912984,0.0,0.1568744312547562,0.1798398488523472,0.106747477262462,0.0,0.0,0.0,0.0,0.0619967895462226,0.163315760173474,0.0,0.0,0.0,0.2223821860972563,0.1664587952258683,0.0,0.0,0.0,0.0,0.0,0.0,0.0377858557221505,0.0397497476441359,0.0,0.0,0.0793999342095637,0.2063398559358131,0.0,0.1213624340885035,0.041475246841269,0.0,0.0369441833601058,0.0,0.0,0.1398705831554039,0.0,0.1596150731918475,0.0,0.0381311212786975,0.0419295671491702,0.0,0.0682065047108202,0.171953333963543,0.0368889140375862,0.0,0.0415044565354588,0.0,0.0688570066812373,0.0457336076962704,0.0,0.0405638624054305,0.0,0.0,0.0
FO538757.2,1.9346213436646047,2.557151938413992,2.5647344902841263,3.401321742512631,5.434951350561926,2.646171634970209,2.114824182732667,2.930504562448045,4.281451005459643,2.9634906034200594,2.62572148238327,2.6694769920006483,3.5949573256358565,3.643719443216095,1.9247244708009368,2.7846637289727907,3.7323919542232,2.184903929052612,2.284252515036588,2.347452167547017,3.569970163602788,1.5890006108280033,1.868728657053456,1.5251428461766103,4.517731061758268,3.09406647237794,2.958405627330176,2.9635807191163512,2.690796152969155,1.6383317183104888,3.224941799595918,3.4808940739245915,3.98393999826559,3.430028182593844,3.0869782953986338,2.2810037009414343,3.0486087483854334,2.7041913041189214,3.337251396609396,3.389762677783982,3.2902943559716946,2.9186211949401684,3.2768629663504765,2.8406105440067853,4.773668364196193,2.345358432459873,3.228976541027451,2.894893354885632,2.7221198521612866,2.180899463049598,3.93880015599778,3.85171477010758,2.100280227579054,1.7174855281692634,4.521509689258392,3.254669236137173,3.1418496342559927,4.175873353593857,1.7948444192383506,2.698754325104708,4.296750499726048,3.0270690942664267,3.9257701181902416,2.311307024062719,3.2030661915186505,3.038348773254952,2.030554406485152,3.630979807725735,3.1352157674615984,3.625314229693661,1.525289411935132,3.4732189638587823,3.380588358833009,2.6608146463159468,2.422397669582564,2.5014226458617967,3.4430602736207487,2.7868260992971288,1.940078419001816,2.389984728627069,0.9985796413205716,4.1992714953299135,2.5822012947667616,4.371943354567072,2.507913947432113,2.7159256957931017,2.2717764114166425,3.340780263475441,3.5333233860887887,2.2481994126310023,2.881050810831661,2.6507955863509283,4.212393264341268,3.1593559230707933,3.491320664034978,3.1909439990062736,2.969774339833209
